row,corr
10501,True
10502,False
10503,False
10717,False
10718,False
10719,False
10720,False
10721,False
10722,False
10723,False
10724,False
10725,False
10726,False
10727,False
10728,False
10729,False
10730,True
10731,False
10732,False
10733,True
10734,False
10735,False
10736,False
10737,False
10738,False
10739,False
10740,True
10741,False
10742,False
10743,False
10744,False
10745,False
10746,False
10853,True
10857,False
10859,True
10936,False
10937,False
10938,False
10939,False
10940,False
10941,False
10942,False
10943,False
10944,False
10945,False
10946,False
11019,False
11020,False
11021,False
11022,False
11023,False
11024,False
11080,False
11081,False
11103,False
11104,False
11105,False
11106,False
11161,False
11167,False
11230,False
11231,False
11232,False
11366,False
11370,False
11419,True
11420,False
11421,False
11457,True
11463,True
11507,False
11508,False
11509,False
11510,False
11511,False
11512,False
11513,False
11514,False
11515,False
11516,False
11517,False
11518,False
11519,False
11520,False
11521,False
11522,False
11523,False
11524,False
11525,False
11526,False
11527,False
11528,False
11529,False
11740,False
11741,False
11742,False
11743,False
11744,False
11745,False
11746,False
11747,False
11748,False
11749,False
11753,False
11754,False
11760,False
11761,False
11956,False
11962,False
11963,True
11969,False
11973,False
11974,False
11977,True
11983,False
12040,False
12041,False
12042,False
12105,False
12106,False
12107,False
12108,False
12109,True
12110,False
12111,False
12178,False
12182,False
12204,True
12205,False
12206,False
12227,False
12228,False
12229,False
12230,False
12256,False
12257,True
12260,True
12263,False
12266,False
12333,False
12334,False
12335,False
12336,False
12337,True
12338,False
12339,False
12416,False
12417,False
12418,False
12419,False
12420,False
12421,False
12422,False
12423,False
12424,False
12425,False
12426,False
12427,False
12428,False
12429,False
12430,False
12464,False
12496,False
12498,False
12500,False
12501,False
12502,False
12503,False
12504,False
12537,True
12538,False
12539,False
12554,False
12557,False
12563,False
12565,False
12637,False
12638,False
12639,False
12693,False
12753,False
12757,False
12758,True
12821,False
12822,False
12823,False
12824,False
12901,False
12902,False
12903,False
12960,False
13016,True
13017,False
13018,False
13019,True
13020,False
13021,False
13068,False
13069,False
13121,False
13122,False
13123,False
13124,False
13125,False
13126,False
13171,True
13237,False
13238,False
13239,False
13296,False
13351,False
13354,True
13395,True
13398,False
13400,False
13401,True
13402,False
13403,False
13462,False
13517,False
13518,False
13519,False
13520,False
13577,True
13616,False
13617,False
13618,False
13619,False
13620,False
13621,False
13622,False
13623,False
13624,False
13625,False
13687,False
13691,False
13744,False
13745,False
13746,False
13747,False
13748,False
13749,False
13795,False
13808,False
13809,False
13810,False
13862,False
13866,False
13867,True
